StdInChIKey,SMILES,LogS,T,Source
BLSVCHHBHKGCSQ-UHFFFAOYSA-N,CC1=CC=CC=C1NC(N)=O,-1.55336281,23,Reaxys
BLUAFEHZUWYNDE-NNWCWBAJSA-N,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(OC(=O)[C@@H]2C)O4,-0.940910623,24.99,Reaxys
BMEMSZNEGPFYMC-KNVOCYPGSA-N,C[C@H]1CC[C@H](CC1)C(N)=O,-0.902822505,18,Reaxys
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,ClC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O,-1.143884926,24.99,Reaxys
BOFXVYGDIRCHEQ-FPYZNPETSA-N,CO[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,-1.540262719,20,Reaxys
BOJKULTULYSRAS-NXIQKPQYSA-N,[H][C@]12CCC(=C)[C@@H](C\C=C3/C(O)COC3=O)[C@]1(C)CC[C@@H](O)[C@@]2(C)CO,-1.886057124,25.04,Reaxys
BQJCRHHNABKAKU-KBQPJGBKSA-N,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,-2.348157253,15,Reaxys
BQSJTQLCZDPROO-UHFFFAOYSA-N,CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N,-0.998411194,24.99,Reaxys
BRVGOAJFDSDGKU-UHFFFAOYSA-N,NC(=O)OCC1=CC(=NO1)C1=CC=C(OCC2=CC=CC=C2)C=C1,-1.116543475,20,Reaxys
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,CC(=O)OC1=CC=CC=C1C(O)=O,0.075176197,24.74,Reaxys
BTPSLIHHXNBZBL-UHFFFAOYSA-N,O=C(NC1=CN=C(NC(=O)C2=CC=CC=C2)C=N1)C1=CC=CC=C1,-2.900824399,NA,Reaxys
BTTNOGHPGJANSW-IBGZPJMESA-N,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C(F)=C1)C1=CC=C(CNCC2=CN=NN2)C=C1,-2.64193097,20,Reaxys
BTTRMCQEPDPCPA-UHFFFAOYSA-N,ClC1=CC2=C(C=C1)C(=O)OC2=O,0.588575421,24.99,Reaxys
BUUKOGVOXWQHJF-UHFFFAOYSA-N,CCCCCCCCOC(=O)C1=C(C)OC2=CC3=C(OC(C)=C3C(=O)OCCCCCCCC)C=C12,-2.045757491,20,Reaxys
CAQHPYSDQFDJAL-UHFFFAOYSA-N,ON=C1C(=O)C=CC2=C1C=CC=C2,-0.244127212,26,Reaxys
CAYMSCGTKZIVTN-IQUTYRLHSA-N,[H][C@@]12COC(=O)[C@@]1([H])CC1=CC(OC)=C(O)C=C1[C@H]2C1=CC=C(O)C(OC)=C1,-0.949847239,20,Reaxys
CBPNZQROAXOWJC-RVDMUPIBSA-N,COC1=CC=C(C=C1)C(=O)C(\CC(O)=O)=C\C1=CC=CC=C1,0.042893053,NA,Reaxys
CBQJSKKFNMDLON-JTQLQIEISA-N,[H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(O)=O,-0.69945019,25,Reaxys
CCORPVHYPHHRKB-NXUCFJMCSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CC,-1.284407192,20,Reaxys
CFKGXXNWAGBBFU-UHFFFAOYSA-N,CCOC(=O)C1=C(C)OC2=CC3=C(OC(C)=C3C(=O)OCC)C=C12,-2.267606191,20,Reaxys
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,-2.364156497,24.84,Reaxys
CJTKTAPIDVKQNY-UHFFFAOYSA-N,COC1=C(OC(C)C)C=CC(=C1)C(=O)N1CCC2(CC1)N(C)CCN1C(=CC=C21)C(F)(F)F,0.031035392,NA,Reaxys
CKDZWMVGDHGMFR-GTPODGLVSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCC,-1.297953573,20,Reaxys
CMIBUZBMZCBCAT-HZPDHXFCSA-N,[H][C@](OC(=O)C1=CC=C(C)C=C1)(C(O)=O)[C@@]([H])(OC(=O)C1=CC=C(C)C=C1)C(O)=O,0.006849752,22,Reaxys
CMWTZPSULFXXJA-VIFPVBQESA-N,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,-1.42044563,25.29,Reaxys
COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(CC1=CC=CC=C1)C(O)=O,-2.733689172,25,Reaxys
CPJSUEIXXCENMM-UHFFFAOYSA-N,CCOC1=CC=C(NC(C)=O)C=C1,-0.32994314,30,Reaxys
CQIUKKVOEOPUDV-IYSWYEEDSA-N,C[C@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@@H]1C,-0.704648873,25,Reaxys
CSEWAUGPAQPMDC-UHFFFAOYSA-N,NC1=CC=C(CC(O)=O)C=C1,-1.316098643,25,Reaxys
