StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
JPIYZTWMUGTEHX-UHFFFAOYSA-N,CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C,Test,-0.582021133,267.374,136,256.538,-824.714862,-824.7282053,-0.01334333,-824.414074,-824.42821,-0.014136,-809.2749124,-809.2870539,-0.012141554,-808.909222,-808.925236,-0.016014,4.5986,6.9471,-0.19233,-0.03412,0.24403,0.19254,543.5136719,0,-3.55171,-0.72892,0.37076,-1.68343,41,11289,19742,24949,0.388461538,0.544345054,0.698630137,3,-69.36832095,-284.8661718,215.4978509,6969,-0.040876191,0.019397706
JQKCQQVJGSNQFB-WCWDXBQESA-N,CCCC(Cc1ccccc1)/N(N(\O)/C(CCC)Cc1ccccc1)/O,Train,0.041390235,354.492,109,341.427,-1117.409352,-1117.423716,-0.01436376,-1116.964799,-1116.979544,-0.014745,-1096.556318,-1096.578341,-0.02202275,-1096.010837,-1096.032956,-0.022119,3.9932,5.3724,-0.22948,-0.05116,0.22699,0.22969,682.9344482,-1.24524,-6.76401,-0.68852,0.486,-1.30449,58,15804,26318.5,27346.5,0.447456412,0.496075198,0.878444797,9,-12.15333373,-215.6386449,203.4853111,6404,0.031019876,0.008741051
JRQDVRIQJJPHEQ-UHFFFAOYSA-N,c1cc(c(c(c1)[N+](=O)[O-])Cl)C(=O)O,Train,-0.207507264,201.566,183,131.887,-1084.920274,-1084.934102,-0.01382776,-1084.851567,-1084.865491,-0.013924,-1067.661033,-1067.672619,-0.01158608,-1067.575149,-1067.586631,-0.011482,5.6664,7.6576,-0.28743,-0.10927,0.16888,0.28764,345.7903137,-2.08106,0.12253,-0.71475,0.81931,-1.50337,17,8220.5,10311.5,15448,0.463319569,0.547296337,0.970588204,4,62.42034239,-183.5818331,246.0021754,5611,0.043285827,0.017542664
JSSSSIRXRJUGAL-UHFFFAOYSA-N,c1ccc(cc1)C(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,Train,-3.689890553,362.345,237,272.194,-1252.1905,-1252.206591,-0.01609094,-1251.939519,-1251.956187,-0.016668,-1228.80242,-1228.812905,-0.01048504,-1228.499966,-1228.512414,-0.012448,8.9682,11.7385,-0.23549,-0.11689,0.16126,0.2357,595.7017212,-1.68961,-2.55047,-0.43716,0.49439,-1.35546,41,14050,16366.5,29063.5,0.437669392,0.560209424,0.773972956,3,120.6568449,-238.151659,358.808504,11577,0.03099322,0.006189209
JTEGQNOMFQHVDC-NKWVEPMBSA-N,c1cn([C@@H]2CS[C@H](CO)O2)c(=O)nc1N,Test,-1.303423437,229.26,140,160.545,-1099.615946,-1099.64002,-0.0240745,-1099.456952,-1099.480737,-0.023785,-1081.556775,-1081.57915,-0.02237484,-1081.361624,-1081.385281,-0.023657,4.4152,6.7074,-0.24414,-0.05119,0.22696,0.24435,409.3650208,-2.09619,0.37059,-0.80479,0.7959,-3.86984,26,9791,13904,17162.5,0.493894185,0.627736072,0.848341178,4,42.49276636,-266.3207526,308.813519,7528,0.041021987,0.018274825
JTGMTYWYUZDRBK-UHFFFAOYSA-N,Cc1c2ccccc2c(C)c2ccccc12,Train,-2.235290614,206.287,181.25,165.837,-618.1711234,-618.1761142,-0.004990876,-617.958559,-617.963704,-0.005145,-606.6170836,-606.6253686,-0.008285018,-606.362505,-606.370936,-0.008431,5.00E-04,9.00E-04,-0.19429,-0.07081,0.20734,0.1945,413.3386536,0,-3.45157,-0.6856,0.25097,0,30,9308.5,10767,20493.5,0.404255319,0.460238193,0.791443816,10,-38.90792534,-85.98308433,47.07515899,1772,-0.024857383,0.002022386
JTVBCXIVJCAUBK-UHFFFAOYSA-N,Cn1cc(c(=O)[nH]c1=O)[N+](=O)[O-],Train,-2.172582627,171.112,255.75,110.623,-658.6453897,-658.6681017,-0.022712036,-658.566314,-658.588872,-0.022558,-646.3521469,-646.365422,-0.013275028,-646.253066,-646.267553,-0.014487,6.2674,8.7446,-0.29195,-0.11565,0.1625,0.29216,322.6573486,-2.06851,1.0809,-0.65484,0.84018,-2.64936,17,7057,8604,14270.5,0.483443709,0.565891473,0.811897946,3,125.3515537,-241.2557686,366.6073223,6628,0.055311907,0.01737564
JUFADMDNFLYBPC-UHFFFAOYSA-N,CCCCCC(=O)NCCNC(=O)CCCCC,Train,-0.597324383,256.389,177.15,250.432,-810.3883779,-810.4072488,-0.018870914,-810.02715,-810.046367,-0.019217,-795.2047753,-795.2237322,-0.018956885,-794.761482,-794.783594,-0.022112,0,0,-0.26051,-0.01055,0.2676,0.26072,623.7296143,-1.40684,-4.44262,-0.70342,0.69619,-2.72692,46,6574.5,23429,26219,0.206128134,0.300168606,0.675675676,3,53.22972813,-203.2442791,256.4740072,6843,0.037479761,0.01656616
JUVIOZPCNVVQFO-HBGVWJBISA-N,C=C(C)[C@H]1Cc2c(ccc3C(=O)[C@H]4c5cc(c(cc5OC[C@H]4Oc23)OC)OC)O1,Train,-2.294933337,394.424,163.5,226.659,-1341.033954,-1341.051658,-0.01770389,-1340.679767,-1340.698356,-0.018589,-1316.228131,-1316.244259,-0.01612862,-1315.79832,-1315.817179,-0.018859,3.9101,5.7223,-0.19793,-0.06278,0.21537,0.19814,656.5247192,-3.33273,-2.12908,-0.7161,0.57849,-3.33273,51,16113.5,21656,27618,0.547521614,0.585227937,0.954963842,8,-50.66695433,-273.6969148,223.0299605,6535,-0.039231247,0.015906227
JWBYUXWEHYCVHA-BVYOUEPQSA-N,C[C@@H](Cc1ccccc1)N(O)N(O)[C@H](C)Cc2ccccc2,Test,0.380203964,298.385,94,211.065,-960.2189065,-960.2317439,-0.01283745,-959.879761,-959.892301,-0.01254,-942.2191627,-942.239841,-0.020678314,-941.816124,-941.836861,-0.020737,2.2843,3.087,-0.22782,-0.01949,0.25866,0.22803,616.3174438,-1.32643,-5.03621,-0.70158,0.51255,-1.46321,46,16479,19540,24662,0.516659702,0.578707209,0.984737299,8,15.12017347,-156.6683202,171.7884936,5247,0.030600073,0.01340202
