StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
XQZYPMVTSDWCCE-UHFFFAOYSA-N,c1ccc(C#N)c(c1)C#N,Train,-2.38,128.133,139.75,106.583,-416.7437639,-416.7578142,-0.014050314,-416.679182,-416.693112,-0.01393,-408.9902084,-408.9916531,-0.001444698,-408.910347,-408.911994,-0.001647,7.3877,9.9391,-0.29628,-0.09918,0.22009,0.3212,305.0411987,0,-0.40626,-0.34716,0.31521,-0.69432,14,12578,14308,26019.5,0.453124993,0.511764706,0.890052338,2,82.05394149,-214.2756275,296.329569,7094,0.041771859,0.01428484
XRECTZIEBJDKEO-UHFFFAOYSA-N,c1c(c(N)[nH]c(=O)n1)F,Train,-1.05193,129.0935,296,98.942,-494.1694143,-494.1957633,-0.026348941,-494.111611,-494.138035,-0.026424,-484.9813441,-484.9951863,-0.013842138,-484.912421,-484.927484,-0.015063,7.2619,10.9408,-0.23624,-0.0661,0.25317,0.26116,270.6947327,-0.71873,1.45075,-0.80392,0.7766,-3.10011,13,12721.5,13816,22742,0.465240642,0.488764043,0.890440002,2,44.27011156,0,44.27011156,7625,0.004549095,0.077932553
XRHGWAGWAHHFLF-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,Train,-3.66,313.7384,25,209.617,-1942.956156,-1942.968528,-0.01237159,-1942.734045,-1942.747881,-0.013836,-1913.952048,-1913.955901,-0.00385273,-1913.671667,-1913.677456,-0.005789,3.47,4.6152,-0.24451,-0.01812,0.30115,0.26943,556.0953979,-2.53789,-2.14695,-0.86689,2.1054,-2.0978,35,27967,32997.5,43532.5,0.567335638,0.832902065,0.871524937,4,-132.022708,-269.8491277,137.8264197,7089,-0.038065895,0.008379993
XRTJYEIMLZALBD-UHFFFAOYSA-N,Cc1ccc2c(c1)sc(c1ccc(cc1)N)n2,Train,-3.68,240.3222,190.5,169.164,-1048.461047,-1048.472877,-0.0118301,-1048.275325,-1048.288576,-0.013251,-1031.32108,-1031.325667,-0.00458765,-1031.098598,-1031.103218,-0.00462,2.5282,3.4957,-0.20451,-0.05539,0.26388,0.22943,462.1537781,0,-2.43212,-0.85408,0.42958,-0.96252,29,13356,28166,44119,0.302670633,0.498881655,0.618690818,4,-38.44770105,-181.0138393,142.5661382,5831,-0.031043361,0.010129165
XSKQKDTZQNFCCB-UHFFFAOYSA-N,c1c(CO)c(cc2c1OCO2)[N+](=O)[O-],Train,-3.064,197.147,123,101.595,-739.8323092,-739.8462818,-0.013972579,-739.718336,-739.732817,-0.014481,-726.1229383,-726.1293245,-0.006386177,-725.984275,-725.992079,-0.007804,5.6408,7.8415,-0.25126,-0.11027,0.209,0.27618,355.0434875,-2.69988,0.17282,-0.79598,0.51495,-2.20283,21,15964.5,20764.5,30173,0.484848485,0.652133151,0.794636444,6,56.45395402,-167.2093987,223.6633528,5183,0.040023378,0.013245149
XSQUKJJJFZCRTK-UHFFFAOYSA-N,C(=O)(N)N,Test,0.96,60.0554,133.5,42.134,-225.2761561,-225.2930046,-0.016848534,-225.240655,-225.25723,-0.016575,-221.0136746,-221.0219669,-0.008292374,-220.970324,-220.978244,-0.00792,4.5941,5.9819,-0.26866,-0.0137,0.30557,0.29358,199.6749725,-0.7583,0.78353,-0.89741,0.78353,-2.55312,8,9212,10265,14324,0.574251503,0.641592983,1,2,22.76422026,-150.7967912,173.5610115,3069,0.056552953,0.022475247
XTRDKALNCIHHNI-UHFFFAOYSA-N,Cc1c(cccc1[N+](=O)[O-])[N+](=O)[O-],Test,-3,182.1354,61.5,153.066,-680.5811399,-680.5934527,-0.012312792,-680.485976,-680.498316,-0.01234,-667.8610374,-667.8646493,-0.003611849,-667.743279,-667.747018,-0.003739,3.117,4.1873,-0.30111,-0.12014,0.19913,0.32603,341.9424438,-1.53487,-1.1431,-0.71366,0.50641,-0.52397,19,16748.5,19813.5,28983.5,0.521114321,0.600041836,0.918666055,3,102.8472686,-140.4794497,243.3267183,6518,0.0373315,0.012438844
XUCIJNAGGSZNQT-UHFFFAOYSA-N,c1ccc(cc1)C(C#N)OC1C(C(C(C(COC2C(C(C(C(CO)O2)O)O)O)O1)O)O)O,Train,-0.77,457.4334,224.5,328.066,-1660.550922,-1660.589173,-0.03825094,-1660.136695,-1660.178622,-0.041927,-1629.836553,-1629.875435,-0.03888139,-1629.336774,-1629.37576,-0.038986,2.9821,4.491,-0.2675,-0.04883,0.27044,0.29242,691.333374,-7.97792,-0.28627,-0.79676,0.52441,-8.34501,59,37121.5,45432.5,57346.5,0.643387373,0.768771278,0.856787723,10,309.7504534,-316.1189892,625.8694426,10211,0.038596317,0.014087711
XUFQPHANEAPEMJ-UHFFFAOYSA-N,C(CSCc1csc(n1)N=C(N)N)C(=NS(=O)(=O)N)N,Train,-2.6468,337.4322,163,261.441,-2042.147107,-2042.181589,-0.03448225,-2041.940619,-2041.974141,-0.033522,-2010.947637,-2010.974515,-0.02687835,-2010.694385,-2010.723001,-0.028616,5.215,8.7171,-0.21013,-0.03458,0.28469,0.23505,580.171875,-1.97966,-0.68284,-1.12723,2.39729,-4.81405,35,23093.5,39072,47413,0.465256783,0.555893979,0.795233892,7,8.77443137,-409.745335,418.5197664,5773,-0.032951132,0.008446372
XUYPXLNMDZIRQH-UHFFFAOYSA-N,CC(=O)NC(CCSC)C(=O)O,Train,0.032,191.2446,110.25,137.783,-953.2431695,-953.2642254,-0.021055893,-953.081844,-953.102836,-0.020992,-937.8496091,-937.8595742,-0.00996513,-937.648215,-937.65782,-0.009605,7.5515,10.1903,-0.23679,-0.02641,0.29286,0.26171,399.303833,-2.09536,-1.3387,-0.82904,0.82349,-2.59693,25,21299.5,25269,30195,0.589401458,0.650728593,0.85175712,5,124.5116282,-245.6747961,370.1864242,8474,0.043520764,0.01876605
