StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
YKGCCFHSXQHWIG-UHFFFAOYSA-N,O=c1cc2sc3c(nc2cc1)cccc3,Train,-3.716,225.3482,161,189.399,-989.6579664,-989.6702983,-0.012331899,-989.537725,-989.549877,-0.012152,-973.6293444,-973.6306129,-0.001268484,-973.483702,-973.484572,-0.00087,6.0496,9.4456,-0.23197,-0.1247,0.19457,0.25689,389.5557556,-0.64671,-1.32733,-0.64671,0.5069,-0.52409,22,13103,21590,36862,0.324909747,0.514285714,0.614830846,7,41.2965039,-155.9484831,197.244987,4461,0.037363392,0.009734684
YKJYKKNCCRKFSL-UHFFFAOYSA-N,O=C(OC1C(Cc2ccc(OC)cc2)NCC1O)C,Train,-1.61,265.3084,140.25,208.767,-900.5972389,-900.6122671,-0.015028248,-900.327991,-900.344319,-0.016328,-883.8682196,-883.8774092,-0.009189633,-883.538606,-883.548507,-0.009901,4.8506,6.6916,-0.2264,-0.02217,0.2971,0.25132,509.7983398,-2.56342,-1.88684,-0.79306,0.83107,-3.31405,38,24768,37109,38331.5,0.478162271,0.599231903,0.728462288,8,56.46744505,-179.2282271,235.6956722,7762,0.029375007,0.006416926
YKYONYBAUNKHLG-UHFFFAOYSA-N,O=C(OCCC)C,Train,-0.72,102.1328,-93,87.863,-347.0355921,-347.0419617,-0.00636959,-346.923214,-346.929545,-0.006331,-340.5503449,-340.5496337,0.000711201,-340.406555,-340.407812,-0.001257,1.9476,2.6569,-0.28164,-0.00118,0.31809,0.30656,301.2148438,-1.2233,-1.27689,-0.77986,0.82702,-1.2233,17,12195.5,19792,21118,0.541467169,0.575342466,0.954933008,5,-45.0147649,-87.55325145,42.53848655,1666,-0.049610301,0.013710484
YLQBMQCUIZJEEH-UHFFFAOYSA-N,o1cccc1,Train,-0.82,68.075,-85.6,54.333,-230.0314374,-230.0348877,-0.003450289,-229.987706,-229.991288,-0.003582,-225.7496947,-225.746955,0.002739704,-225.694852,-225.692468,0.002384,0.7324,0.9371,-0.23687,-0.00277,0.3165,0.26179,214.0557251,-0.47568,-0.53811,-0.47568,0.26344,-0.47568,9,9553,10769,15740,0.565789474,0.639705914,0.888157895,5,19.74621709,-32.50845667,52.25467376,996,0.02649839,0.004178959
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,Train,-0.63,84.9328,-96.9,64.229,-959.7005347,-959.7048116,-0.004276901,-959.697777,-959.702104,-0.004327,-947.7130184,-947.7165718,-0.003553381,-947.70514,-947.708731,-0.003591,1.8849,2.3803,-0.3155,-0.03236,0.28691,0.34042,201.4446259,0,-0.48761,-0.48761,0.28811,-0.08862,5,9171,12089.5,12548.5,0.685387629,0.730263158,0.927927928,2,64.94655764,-19.85152254,84.79808018,1977,0.042892302,0.009682421
YNARWAUTTJJADX-UHFFFAOYSA-N,S=c1n(C)c2c(n(CC)c3ncccc13)nccc2,Train,-4.63,270.3514,158,202.345,-1159.136764,-1159.147339,-0.0105748,-1158.916884,-1158.928065,-0.011181,-1139.914847,-1139.916361,-0.00151388,-1139.653617,-1139.653929,-0.000312,3.2721,5.3943,-0.21525,-0.07449,0.24478,0.24017,471.5574951,0,-1.42144,-0.70316,0.43998,-2.13736,33,26822.5,27660.5,40150.5,0.630640569,0.656652361,0.978391348,4,18.25025395,-169.0793609,187.3296149,4610,0.035532829,0.009587839
YNAVUWVOSKDBBP-UHFFFAOYSA-N,O1CCNCC1,Train,1.06,87.1212,-5,72.721,-287.806996,-287.8137855,-0.006789515,-287.699752,-287.706606,-0.006854,-282.4618911,-282.4700846,-0.008193491,-282.330328,-282.338048,-0.00772,1.6791,2.1384,-0.23305,0.00107,0.32034,0.25797,252.3343048,-0.6233,-0.8666,-0.74375,0.41066,-1.36705,15,12699,14574,18028.5,0.750716334,0.779220779,0.980519481,3,-18.41821563,-72.86070269,54.44248706,1880,0.02895877,0.010125182
YNBADRVTZLEFNH-UHFFFAOYSA-N,O=C(OC)c1cnccc1,Train,-0.46,137.1378,42,114.056,-476.1825601,-476.1917487,-0.009188569,-476.085086,-476.094589,-0.009503,-467.3064366,-467.3096421,-0.003205541,-467.188494,-467.191512,-0.003018,3.8785,5.3161,-0.27196,-0.07119,0.24808,0.29688,315.7475586,-1.1909,-0.06289,-0.64204,0.81923,-1.68027,17,12043.5,18679.5,26656.5,0.447082458,0.660707288,0.673290182,4,14.6069593,-126.0682385,140.6751978,2289,0.033263514,0.007415117
YNDXUCZADRHECN-JNQJZLCISA-N,F[C@]12[C@@H](O)C[C@]3(C)[C@]4(C(=O)CO)OC(C)(C)O[C@@H]4C[C@H]3[C@@H]1CCC1=CC(=O)C=C[C@]21C,Train,-4.32,434.5037,270,291.281,-1484.306022,-1484.329945,-0.0239233,-1483.842118,-1483.867058,-0.02494,-1456.840296,-1456.85423,-0.01393409,-1456.276996,-1456.289229,-0.012233,4.6033,7.067,-0.2428,-0.08442,0.23485,0.26772,593.7130737,-3.94622,-4.08034,-0.78922,0.56968,-4.36485,62,29291,44949.5,49309.5,0.594663306,0.739418151,0.945003422,7,132.5500014,-280.161981,412.7119824,11968,0.033989784,0.009536799
YNPNZTXNASCQKK-UHFFFAOYSA-N,c12c3c(ccc1cccc2)cccc3,Train,-5.258842,178.233,99,145.669,-539.5567633,-539.5621166,-0.005353337,-539.396992,-539.402566,-0.005574,-529.4834606,-529.4804289,0.00303178,-529.293414,-529.290616,0.002798,0.0202,0.0379,-0.22105,-0.0493,0.26997,0.24597,371.7520752,0,-2.50647,-0.24575,0.25346,0,24,13530.5,19933.5,35855,0.333333333,0.480874314,0.694656489,5,1.619109515,-76.57456965,78.19367917,1928,0.023775203,0.00292177
YNVOMSDITJMNET-UHFFFAOYSA-N,O=C(O)c1cscc1,Train,-1.47,128.1454,138.5,90.062,-741.5834362,-741.5974901,-0.014053821,-741.534372,-741.54819,-0.013818,-730.1691326,-730.1754778,-0.006345282,-730.106486,-730.113163,-0.006677,4.6546,6.3329,-0.27197,-0.06756,0.25171,0.29689,272.9131775,-1.35608,-0.52151,-0.72036,0.81448,-0.85151,12,11576.5,14369.5,22515.5,0.499943086,0.579997202,0.866478988,3,41.28404243,-147.0584241,188.3424665,2687,-0.054729596,0.017642815
