StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
IZZVKENIUWWBHF-BUHFOSPRSA-N,CCCCCCCC\C=C\C(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,Train,-1.613894727,464.651,127.5,343.655,-1460.582515,-1460.605781,-0.02326555,-1460.018034,-1460.042561,-0.024527,-1433.279203,-1433.307309,-0.02810612,-1432.584426,-1432.613647,-0.029221,8.4028,12.2963,-0.18299,-0.04804,0.20997,0.15502,916.2470703,-1.31747,-6.37855,-0.68801,0.84116,-3.45175,74,19845.5,31326,40382.5,0.280369952,0.499168598,0.523148151,4,-145.8406153,-451.072418,305.2318027,7950,-0.056738669,0.029966705
JAKVEOCMEMGHGB-YFKPBYRVSA-N,[H][C@](N)(CSCC#C)C(O)=O,Train,-3.088024262,159.209,214.25,129.421,-837.3927909,-837.4083107,-0.015519795,-837.286358,-837.301621,-0.015263,-824.1676208,-824.1798879,-0.012267162,-824.034207,-824.046139,-0.011932,2.599,3.8042,-0.23145,-0.02836,0.22965,0.20348,362.7968445,-1.36191,-0.91949,-0.92102,0.81641,-2.09264,19,7497,12755,14826.5,0.451898787,0.548554438,0.778453671,4,48.21114352,-176.1208031,224.3319466,5452,0.037882836,0.016196396
JCRIDWXIBSEOEG-UHFFFAOYSA-N,OC1=C(C=CC=C1N(=O)=O)N(=O)=O,Train,0.839847846,184.108,62.1,114.167,-716.4934581,-716.5068864,-0.013428309,-716.420502,-716.434211,-0.013709,-703.1304805,-703.144263,-0.013782529,-703.0404,-703.057279,-0.016879,4.3688,5.8472,-0.28955,-0.13936,0.11865,0.26158,325.2571411,-2.24921,-0.15627,-0.65831,0.5397,-1.24203,17,7304,9165,14888.5,0.444444444,0.530215351,1,3,117.2213593,-158.9401844,276.1615437,6488,0.042564973,0.011698573
JDMCEGLQFSOMQH-UHFFFAOYSA-N,CCCCC(NC(C)=O)C(O)=O,Train,0.130637881,173.212,105.5,151.647,-594.3759063,-594.3896255,-0.013719188,-594.187689,-594.202904,-0.015215,-583.2589646,-583.2714198,-0.012455292,-583.026685,-583.040658,-0.013973,2.5417,5.2819,-0.26255,-0.02328,0.23473,0.23458,410.1325989,-2.06478,-1.51039,-0.76811,0.82771,-2.71408,27,10541.5,13378,16428.5,0.499253909,0.599320387,0.84773824,3,-4.981399276,-200.3557744,195.3743751,5450,0.035192051,0.017839841
JDSHMPZPIAZGSV-UHFFFAOYSA-N,NC1=NC(N)=NC(N)=N1,Train,-2.619789332,126.121,354,93.879,-446.5176462,-446.5314018,-0.013755567,-446.434753,-446.449279,-0.014526,-438.1298447,-438.1560273,-0.026182644,-438.034826,-438.060611,-0.025785,0.0094,0.0108,-0.24149,-0.00078,0.25723,0.21352,291.1286621,0,1.81919,-0.83455,0.60641,-4.47745,15,7183,7214,12574,0.439716312,0.442857143,0.91189777,4,-16.58128125,-161.960478,145.3791967,4865,-0.033290951,0.008948152
JDTWZSUNGHMMJM-CAHLUQPWSA-N,[H][C@](C)(CC)[C@@]([H])(NC(C)=O)C(O)=O,Train,-0.467725965,173.212,154.5,139.593,-594.3736789,-594.3867455,-0.013066551,-594.184584,-594.199137,-0.014553,-583.2568985,-583.2681237,-0.011225179,-583.022864,-583.034395,-0.011531,2.5791,4.1447,-0.2627,-0.02336,0.23465,0.23473,389.9914246,-2.06076,-1.5438,-0.76714,0.83015,-2.71427,27,11273,12779,14810,0.614562547,0.780863559,0.944792527,9,-13.82321837,-154.4052522,140.5820339,1962,-0.057145269,0.018739587
JEZQCHJJLYRNOZ-UHFFFAOYSA-N,OC(=O)C1=CC=CC(Cl)=C1C(=O)C1=CC=CC=C1,Train,-1.420291159,260.677,232.82,156.879,-1224.819118,-1224.833145,-0.01402676,-1224.66733,-1224.681586,-0.014256,-1204.961432,-1204.97776,-0.0163281,-1204.778451,-1204.794742,-0.016291,4.0918,6.2168,-0.26176,-0.07872,0.17929,0.23379,444.888092,-1.9119,-0.74709,-0.71414,0.81706,-1.90111,27,12475.5,15748,17592,0.634579515,0.802170247,0.841213509,3,-35.30686337,-234.2182022,198.9113388,5100,-0.045925138,0.019074422
JGMBHJNMQVKDMW-UHFFFAOYSA-N,ClC1=C(Cl)C=C(C=C1)C1CCC(=O)C2=CC=CC=C12,Test,-0.362530939,291.177,100,181.278,-1612.5845,-1612.594763,-0.01026272,-1612.392709,-1612.403196,-0.010487,-1588.474191,-1588.492787,-0.01859518,-1588.241349,-1588.261936,-0.020587,1.1124,1.4338,-0.25698,-0.07429,0.18372,0.22901,484.2006226,-0.61471,-2.58597,-0.61471,0.58393,-0.58005,31,11871.5,17383,20394,0.556815179,0.741935472,0.787793779,3,141.0260955,-101.8928679,242.9189634,7769,0.031267726,0.007195639
JGRXMPYUTJLTKT-UHFFFAOYSA-N,OC(=O)CNC(=O)C1=C(O)C=C(C=N1)C1=CC(Cl)=CC=C1,Train,-0.486720856,306.705,175.8,198.674,-1410.797895,-1410.812102,-0.01420703,-1410.611766,-1410.627011,-0.015245,-1387.471066,-1387.49036,-0.0192931,-1387.245506,-1387.265395,-0.019889,1.3581,1.7182,-0.24826,-0.08029,0.17772,0.22029,521.6984253,-2.77659,0.23728,-0.71945,0.82061,-3.89731,32,9880.5,16762.5,25058.5,0.339702584,0.552529183,0.573348553,7,79.4719683,-130.6023961,210.0743644,2724,0.041072446,0.021675889
JKCQOMAQPUYHPL-UHFFFAOYSA-N,C1COCCOC2=C(OCCOCCOC3=C(OCCO1)C=CC=C3)C=CC=C2,Train,-1.052568169,404.46,106.75,314.477,-1381.719539,-1381.74488,-0.02534145,-1381.301716,-1381.326558,-0.024842,-1356.125582,-1356.15635,-0.03076859,-1355.621104,-1355.649622,-0.028518,2.2016,2.7391,-0.20546,-0.005,0.25301,0.17749,687.0195313,-4.06918,-2.4831,-0.61639,0.27943,-4.06918,57,17793.5,21283.5,32412.5,0.495257607,0.744001761,0.79511279,5,-383.3988668,-568.1140983,184.7152315,10139,-0.054622956,0.027032108
