StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,E0_gas,E0_solv,DeltaE0_sol,G_gas,G_solv,DeltaG_sol,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol,gas_dip,solv_dip,HOMO,LUMO,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
HXQJFCWQLPRPRG-UHFFFAOYSA-N,Cc1ccc(NC(=Nc2ccc(C)cc2)n3c(Nc4ccc(C)cc4)nc5cc(C)ccc35)cc1,Test,-1.719870244,459.594,210,350.465,-1434.501949,-1434.508147,-0.00619774,-1434.046457,-1434.053344,-0.006887,-1407.729384,-1407.765404,-0.03602025,-1407.173553,-1407.214631,-0.041078,5.0402,5.8982,-0.19266,-0.04897,0.13135,0.03375,812.6517334,0,-4.78821,-0.69998,0.63351,-2.8023,64,46339,52300,64317,0.879280942,0.927219813,0.956431525,6,-55.26634356,-228.9850399,173.7186964,6956,-0.032465179,0.009459626
HZKHTARSMSXWFU-UHFFFAOYSA-N,Cl[S](=O)(=O)c1cc2c(cccc2[S](Cl)(=O)=O)c(c1)[S](Cl)(=O)=O,Train,-0.519907217,423.703,146,244.246,-3410.40637,-3410.413884,-0.00751446,-3410.309268,-3410.31727,-0.008002,-3362.227973,-3362.255099,-0.02712601,-3362.110823,-3362.138521,-0.027698,5.2328,6.1372,-0.30558,-0.14828,0.03204,0.14667,526.1759644,-5.23629,-1.7936,-0.87613,2.08169,0.33662,27,29045,31578.5,43581.5,0.576752265,0.588914718,0.957276405,9,229.9981753,-119.5749115,349.5730867,8425,0.040359803,0.011188848
IAHOUQOWMXVMEH-UHFFFAOYSA-N,Nc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,Train,-1.458053873,228.121,190,152.935,-901.1451998,-901.1524786,-0.007278802,-901.061465,-901.068913,-0.007448,-884.3061157,-884.3173653,-0.011249625,-884.204324,-884.215759,-0.011435,3.184,3.7767,-0.29193,-0.15096,0.02936,0.13302,364.6940308,-2.34366,0.03603,-0.74609,0.49823,-1.59642,20,16038,17072.5,34379.5,0.385964912,0.406542056,0.927787103,4,188.9314515,-118.6848554,307.6163069,7187,0.042801768,0.012598216
IAOCRFBMFNOPFQ-UHFFFAOYSA-N,OOC1(c2ccccc2)c3ccccc3C(OO)(c4ccccc4)c5ccccc15,Train,-2.297149663,396.442,241,363.446,-1303.552756,-1303.558439,-0.00568251,-1303.214136,-1303.219954,-0.005818,-1279.410188,-1279.432492,-0.02230442,-1279.005183,-1279.027919,-0.022736,0.7303,0.8482,-0.2448,-0.04611,0.13421,0.08589,606.6859741,-1.6121,-3.94877,-0.49159,0.50397,-1.6121,50,33871,47318.5,48058,0.612836093,0.946091585,0.971245906,16,-33.42708815,-140.7470952,107.3200071,1910,-0.032056135,0.008223572
IBCDULLCLULASH-UHFFFAOYSA-N,Cc1ccc(cc1)C(=O)N(O)c2ccc(Cl)cc2,Train,-1.307227288,261.708,159,175.027,-1206.09419,-1206.099187,-0.00499646,-1205.91287,-1205.916862,-0.003992,-1186.58777,-1186.604194,-0.01642322,-1186.366406,-1186.383269,-0.016863,4.7907,5.39,-0.23272,-0.0566,0.12372,0.07381,481.4853821,-1.20497,-1.97859,-0.70311,0.67905,-1.38486,30,15181.5,32351,44200.5,0.341661921,0.445247283,0.764801255,8,50.65922857,-92.41531669,143.0745453,1942,0.043172366,0.023955328
IBDIGFWTFKXXAG-UHFFFAOYSA-N,Oc1ccc(cc1)N=Nc2ccccc2[N+]([O-])=O,Train,-0.587374305,243.222,110,153.196,-852.5073469,-852.5141259,-0.00677901,-852.354187,-852.360799,-0.006612,-836.6084966,-836.6232433,-0.014746637,-836.422933,-836.439584,-0.016651,3.2845,3.8936,-0.23855,-0.10551,0.07481,0.07964,452.8112183,-1.45578,-1.27569,-0.69683,0.51791,-1.33994,27,17360.5,26790,42300,0.35436244,0.572319665,0.651034459,5,13.81231056,-172.2660359,186.0783464,3884,-0.041366613,0.011641704
ICSNLGPSRYBMBD-UHFFFAOYSA-N,Nc1ccccn1,Train,0.307369906,94.116,57,74.703,-303.6626574,-303.666209,-0.003551612,-303.586883,-303.590456,-0.003573,-297.9578003,-297.9656122,-0.00781187,-297.867222,-297.875105,-0.007883,2.0663,2.3893,-0.21673,-0.02547,0.15485,0.05782,257.9655457,0,-0.44702,-0.8577,0.43476,-1.39026,13,11204,13622.5,21132.5,0.47311828,0.550632911,0.820015326,3,18.03197467,-71.64691509,89.67888976,2352,0.037322813,0.014421609
IEGGPIDDZREPLN-UHFFFAOYSA-N,COC(=O)c1ccc(cc1)C=NNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O,Train,-3.390787543,344.283,270,257.523,-1249.017829,-1249.026731,-0.00890175,-1248.804627,-1248.813334,-0.008707,-1225.720788,-1225.738181,-0.01739349,-1225.460493,-1225.478,-0.017507,6.7243,7.5824,-0.24718,-0.12671,0.05361,0.08827,582.4398193,-2.79202,-0.83028,-0.62121,0.8091,-2.45108,37,16891.5,33121.5,57997.5,0.26,0.496333115,0.530834745,5,178.3182865,-207.9129933,386.2312798,8886,0.035237533,0.011898696
IFLREYGFSNHWGE-UHFFFAOYSA-N,c1ccc2cc3cc4ccccc4cc3cc2c1,Train,-2.017735267,228.293,350,171.638,-693.1878882,-693.1904191,-0.002530931,-692.985488,-692.988025,-0.002537,-680.2453457,-680.2621769,-0.0168312,-680.005764,-680.022361,-0.016597,0.0001,0,-0.18849,-0.08772,0.0926,0.02958,441.3098755,0,-2.91002,-0.2453,0.24778,0,30,12532,24449.5,44672,0.282051282,0.511627907,0.546623803,17,50.42206287,-32.29137452,82.71343739,1266,0.023803154,0.001961424
IFYDLKKPIFEVOU-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(c1)N=Nc2ccccc2,Train,0.646344068,254.332,70,213.379,-805.2691651,-805.2721246,-0.002959452,-805.009114,-805.011557,-0.002443,-790.2365931,-790.2503802,-0.013787098,-789.919852,-789.93393,-0.014078,1.5061,1.7021,-0.22353,-0.0978,0.08252,0.06462,510.3019409,-0.70365,-3.56348,-0.70365,0.52088,-1.12913,37,21184,30481.5,46495.5,0.480340191,0.615675851,0.737611327,6,25.23718017,-49.18205198,74.41923215,2545,0.02693667,0.006874931
IHPDTPWNFBQHEB-KBPBESRZSA-N,O[C@H]([C@@H](O)c1ccccc1)c2ccccc2,Test,-1.588474696,214.264,147,158.879,-692.3770497,-692.3812938,-0.004244103,-692.17212,-692.175844,-0.003724,-679.456169,-679.4706023,-0.014433317,-679.21059,-679.224886,-0.014296,0.5367,0.659,-0.25558,-0.02488,0.15544,0.09667,437.0498962,-1.56554,-2.43678,-0.78277,0.50534,-1.56554,30,18946,32360.5,35147,0.489584305,0.496710526,0.996887549,13,11.9646424,-75.34796885,87.31261125,1161,-0.031376495,0.009510235
